TIMESTAMP,ACCEL_DATA_X, ACCEL_DATA_Y, ACCEL_DATA_Z, GYRO_DATA_X, GYRO_DATA_Y, GYRO_DATA_Z, MAG_DATA_X, MAG_DATA_Y, MAG_DATA_Z, QUATERNION_DATA_W, QUATERNION_DATA_X, QUATERNION_DATA_Y, QUATERNION_DATA_Z
1507346969635,65446,909,65179,65379,72,136,444,65077,307,6090,7714,11050,7053
1507346969661,65450,922,65175,65418,59,126,444,65077,294,6085,7715,11037,7077
1507346969676,65441,903,65200,65420,39,57,432,65053,294,6084,7714,11032,7085
1507346969687,65448,913,65171,65478,35,48,432,65053,294,6083,7713,11027,7096
1507346969703,65446,907,65183,65487,14,27,432,65053,294,6082,7713,11025,7100
1507346969719,65447,910,65191,65487,4,21,444,65052,308,6083,7713,11022,7106
1507346969731,65445,910,65194,65493,65532,12,444,65052,308,6086,7711,11019,7108
1507346969744,65445,906,65188,65510,65526,3,444,65052,308,6089,7711,11016,7109
1507346969766,65449,909,65209,65497,65519,65529,438,65053,300,6092,7710,11014,7111
1507346969784,65444,910,65207,65523,8,3,438,65053,300,6088,7711,11018,7107
1507346969806,65432,903,65163,122,19,65523,438,65053,307,6081,7715,11030,7091
1507346969828,65451,901,65208,115,65464,65428,438,65047,307,6090,7714,11043,7063
1507346969850,65440,882,65094,282,65405,65358,438,65047,307,6104,7719,11064,7001
1507346969873,65431,898,65247,65520,65356,2,432,65053,307,6129,7721,11050,7008
1507346969893,65417,841,65184,65414,50,212,432,65053,307,6120,7735,11027,7040
1507346969920,65456,893,65212,65377,20,123,438,65060,294,6118,7737,11009,7067
1507346969939,65446,912,65178,65493,75,110,438,65060,294,6106,7742,11002,7084
1507346969954,65423,893,65222,65490,109,123,438,65060,294,6097,7743,10999,7095
1507346969971,65455,916,65154,65512,89,133,425,65066,294,6088,7747,10991,7114
1507346969984,65458,921,65183,65471,66,77,425,65066,294,6077,7749,10989,7127
1507346970004,65457,912,65175,65521,83,59,425,65066,294,6058,7749,10989,7137
1507346970026,65453,913,65201,65506,67,6,438,65042,294,6052,7742,10991,7145
1507346970045,65474,918,65185,65492,43,65520,438,65042,294,6051,7736,10992,7151
1507346970069,65457,917,65198,10,13,10,449,65053,294,6049,7737,10992,7152
1507346970091,65460,908,65180,21,7,5,449,65053,294,6046,7739,10996,7149
1507346970115,65426,908,65198,62,65522,0,420,65060,294,6043,7741,10994,7145
1507346970134,65411,895,65189,65484,65359,65525,420,65060,294,6076,7743,10982,7138
1507346970159,65458,940,65129,198,15,30,420,65053,289,6055,7756,10994,7124
1507346970198,65459,894,65198,65531,26,42,425,65053,289,6044,7760,10995,7127
1507346970219,65456,919,65163,26,34,38,444,65052,307,6043,7761,10990,7135
1507346970235,65449,908,65188,65317,65477,32,444,65052,307,6064,7756,10967,7157
1507346970258,65452,909,65196,65380,65507,55,444,65042,300,6074,7756,10950,7175
1507346970280,65460,912,65209,65407,65526,62,444,65042,300,6078,7757,10938,7188
1507346970302,65452,933,65222,79,18,65528,444,65042,300,6071,7758,10934,7201
1507346970327,65469,911,65191,65490,35,33,425,65060,294,6070,7755,10930,7211
1507346970343,65454,921,65193,65479,24,2,425,65060,294,6071,7752,10929,7218
1507346970362,65453,904,65200,65488,17,0,425,65066,294,6073,7749,10927,7219
1507346970376,65458,912,65200,65512,65534,65533,425,65066,294,6073,7749,10926,7219
1507346970392,65460,910,65188,1,65534,65535,425,65066,294,6073,7749,10927,7219
1507346970413,65461,910,65200,6,65534,3,425,65052,289,6072,7750,10929,7216
1507346970434,65463,912,65198,30,3,65535,425,65052,289,6068,7753,10932,7212
1507346970455,65456,911,65215,25,0,65530,425,65052,270,6066,7755,10934,7209
1507346970478,65453,924,65210,29,65534,65534,438,65034,270,6063,7756,10936,7205
1507346970498,65454,915,65201,35,0,65527,438,65034,270,6060,7759,10939,7200
1507346970520,65461,910,65206,65,13,65526,420,65045,289,6053,7761,10947,7192
1507346970538,65458,909,65190,93,22,65521,420,65045,289,6043,7764,10958,7173
1507346970563,65466,916,65204,134,28,65492,432,65045,276,6029,7768,10974,7151
1507346970582,65450,915,65198,238,66,65482,432,65045,276,6003,7773,11017,7118
1507346970605,65476,939,65187,250,65508,65324,432,65045,307,5998,7766,11055,7066
1507346970627,65434,948,65184,409,65444,65109,420,65052,307,6004,7747,11124,6973
1507346970644,65460,943,65179,725,65426,64899,420,65052,307,6005,7726,11227,6832
1507346970663,65358,819,65094,813,65431,64853,438,65052,307,6005,7724,11269,6762
1507346970677,65369,828,65060,735,65195,64969,438,65052,307,6016,7724,11346,6608
1507346970693,65286,840,65078,721,65172,64981,438,65052,307,6065,7724,11404,6476
1507346970716,65156,792,65269,504,65282,65158,462,65082,326,6070,7723,11455,6381
1507346970735,65237,780,65248,331,231,65451,462,65082,326,6014,7731,11484,6373
1507346970759,157,846,64957,38,167,229,462,65100,350,5970,7758,11474,6400
1507346970803,65335,1044,65276,64819,65069,65358,473,65100,350,6146,7807,11275,6487
1507346970825,65403,819,65346,64856,65403,65378,462,65100,332,6199,7790,11275,6482
1507346970842,65373,864,65145,262,171,65506,462,65100,332,6150,7802,11341,6444
1507346970866,65402,899,65048,350,143,0,468,65093,313,6094,7814,11365,6418
1507346970886,65381,888,65082,24,65355,65527,468,65093,313,6116,7824,11350,6401
1507346970910,65407,882,65244,65445,65355,65472,468,65106,326,6135,7818,11348,6395
1507346970930,65426,885,65151,126,204,65421,468,65106,326,6102,7796,11387,6380
1507346970952,65372,866,65091,199,210,65393,468,65106,326,6065,7775,11446,6358
1507346970975,65368,872,65077,211,117,65412,468,65112,320,6045,7755,11470,6341
1507346970995,65367,887,65187,35,142,65363,468,65112,320,6021,7719,11503,6348
1507346971020,65345,854,65168,153,613,86,456,65112,320,5911,7716,11543,6380
1507346971039,65285,839,65175,353,741,308,456,65112,320,5768,7726,11600,6468
1507346971064,17,832,65074,165,965,549,456,65117,350,5608,7718,11603,6587
1507346971084,363,905,64987,65246,143,136,456,65117,350,5608,7703,11584,6592
1507346971110,65384,839,65326,65167,65079,64957,456,65106,382,5699,7625,11590,6594
1507346971130,65424,854,65086,65395,190,6,425,65106,382,5674,7609,11600,6614
1507346971154,65439,876,65074,157,65497,16,425,65106,382,5651,7602,11621,6608
1507346971177,65407,894,65133,65422,65505,65498,432,65122,364,5663,7594,11618,6613
1507346971199,65411,855,65072,65534,16,65494,432,65122,364,5661,7593,11621,6612
1507346971223,65455,928,65108,65498,65503,65443,438,65106,364,5677,7588,11616,6614
1507346971243,65432,804,65120,65429,65491,65506,438,65106,364,5694,7580,11612,6613
1507346971268,65421,882,65102,65516,65497,65523,449,65100,358,5705,7580,11607,6611
1507346971288,65395,843,65097,65452,65454,65490,449,65100,358,5732,7569,11601,6605
1507346971333,65403,863,65118,65490,65440,65417,438,65106,339,5791,7557,11596,6584
1507346971355,65424,833,65189,65456,126,25,438,65106,339,5779,7548,11599,6598
1507346971378,65401,875,65057,120,19,65524,444,65117,347,5773,7553,11605,6597
1507346971424,65424,835,65122,57,59,65521,444,65112,352,5763,7548,11608,6596
1507346971435,65405,900,65111,99,85,48,444,65112,352,5753,7552,11612,6593
1507346971452,65421,876,65074,30,24,18,444,65112,352,5757,7550,11610,6595
1507346971471,65402,873,65145,65461,65470,65493,438,65100,364,5766,7540,11609,6599
1507346971489,65406,860,65118,8,12,1,438,65100,364,5763,7540,11612,6598
1507346971514,65410,879,65101,65530,65515,65525,449,65100,352,5767,7540,11610,6598
1507346971538,65414,871,65090,65529,10,11,449,65100,352,5761,7543,11612,6595
1507346971564,65411,865,65109,34,65530,65532,449,65112,352,5758,7543,11613,6595
1507346971586,65405,870,65119,65511,65521,65527,449,65112,352,5762,7543,11612,6596
1507346971611,65407,875,65117,16,7,6,444,65106,352,5761,7544,11613,6594
1507346971634,65407,872,65123,65531,65526,65532,444,65106,352,5762,7544,11612,6594
1507346971661,65412,875,65110,8,6,6,438,65117,352,5760,7542,11614,6594
1507346971683,65414,865,65114,8,65532,1,438,65117,352,5759,7542,11615,6594
1507346971708,65415,861,65108,65534,65535,65534,438,65106,347,5761,7546,11613,6592
1507346971732,65413,872,65110,4,1,1,462,65106,347,5760,7546,11613,6591
1507346971757,65410,868,65119,65530,65530,2,462,65100,352,5760,7546,11613,6591
1507346971784,65407,872,65119,5,3,0,449,65100,352,5760,7546,11613,6591
1507346971811,65410,872,65119,0,2,1,444,65106,364,5758,7541,11616,6593
1507346971833,65411,867,65117,2,4,4,444,65106,364,5757,7541,11617,6593
1507346971858,65411,864,65109,3,1,1,444,65106,377,5750,7529,11625,6599
1507346971884,65416,866,65114,65535,65534,2,456,65106,377,5750,7529,11625,6598
1507346971911,65411,870,65115,65534,65534,2,449,65117,339,5751,7532,11623,6597
1507346971934,65406,868,65118,0,65535,0,449,65117,339,5751,7532,11624,6596
1507346971958,65407,872,65117,1,0,0,449,65100,364,5751,7531,11625,6597
1507346971982,65408,869,65118,1,0,3,449,65100,364,5751,7531,11625,6597
1507346972022,65410,868,65112,1,65534,1,444,65100,339,5754,7538,11621,6593
1507346972082,65408,868,65119,0,65534,2,444,65100,339,5754,7538,11621,6593
1507346972104,65408,869,65111,0,65534,2,444,65100,339,5754,7539,11620,6592
1507346972126,65407,865,65119,1,0,1,438,65117,339,5755,7539,11620,6592
1507346972149,65408,866,65110,1,0,1,438,65117,339,5754,7539,11620,6591
1507346972175,65411,868,65116,0,0,2,456,65100,352,5755,7541,11620,6590
1507346972213,65412,869,65117,65534,65534,2,438,65112,364,5750,7532,11626,6595
1507346972246,65410,869,65112,1,65535,2,438,65112,364,5750,7533,11625,6594
1507346972281,65410,865,65112,0,65534,65535,449,65106,347,5751,7533,11625,6594
1507346972319,65408,867,65117,1,2,2,444,65106,352,5751,7533,11625,6594
1507346972354,65411,868,65113,0,0,1,444,65106,347,5752,7536,11623,6593
1507346972386,65413,867,65108,0,0,2,456,65106,347,5752,7536,11623,6593
1507346972421,65410,867,65116,0,65535,65534,468,65100,339,5762,7553,11612,6584
1507346972455,65407,867,65115,2,1,1,468,65112,352,5762,7553,11612,6584
1507346972489,65408,868,65105,65535,65535,1,449,65112,352,5762,7553,11612,6584
1507346972525,65410,867,65118,1,65535,0,444,65106,347,5763,7554,11611,6584
1507346972559,65414,867,65115,0,65535,65534,456,65106,352,5763,7554,11611,6584
1507346972595,65410,867,65110,0,65534,65535,456,65106,352,5766,7559,11608,6581
1507346972651,65410,869,65111,0,65533,1,462,65088,352,5766,7559,11608,6581
1507346972672,65409,869,65115,2,65534,1,432,65106,339,5766,7560,11607,6581
1507346972696,65409,867,65106,0,1,65535,432,65106,339,5766,7560,11607,6581
1507346972721,65410,867,65117,0,1,65534,449,65100,347,5767,7562,11606,6580
1507346972745,65409,868,65110,65535,65535,65535,449,65100,347,5767,7562,11606,6580
1507346972771,65410,871,65118,65535,65533,65535,449,65106,358,5767,7561,11606,6580
1507346972798,65412,869,65110,1,1,0,449,65106,358,5767,7561,11608,6582
1507346972828,65411,867,65113,1,65535,65535,438,65106,358,5765,7558,11608,6582
1507346972864,65408,868,65116,65534,1,2,456,65106,347,5766,7560,11607,6581
1507346972897,65408,868,65115,0,65535,65535,456,65106,347,5766,7560,11607,6581
1507346972932,65411,869,65119,2,65535,65535,456,65100,352,5766,7560,11607,6581
1507346972967,65411,869,65115,0,2,65535,449,65112,352,5766,7560,11607,6581
1507346973000,65410,869,65107,1,1,3,449,65112,352,5766,7560,11607,6581
1507346973034,65408,870,65117,0,65534,1,444,65106,352,5766,7560,11607,6581
1507346973069,65408,867,65118,65535,1,1,449,65117,334,5766,7560,11607,6581
1507346973109,65411,869,65113,65535,0,65535,462,65122,358,5766,7560,11607,6581
1507346973144,65411,867,65105,65535,0,4,462,65122,358,5766,7560,11607,6581
1507346973181,65410,872,65112,65534,65534,2,456,65093,347,5766,7560,11607,6581
1507346973217,65410,870,65118,0,1,2,456,65106,334,5766,7560,11607,6581
1507346973287,65411,871,65108,1,4,2,438,65106,347,5766,7560,11607,6581
1507346973313,65411,869,65115,65534,65535,65534,438,65112,358,5766,7560,11607,6581
1507346973330,65411,865,65115,0,0,0,468,65112,358,5766,7560,11607,6581
1507346973351,65410,869,65108,0,65535,3,468,65112,358,5766,7560,11607,6581
1507346973378,65409,869,65114,0,1,2,456,65100,339,5766,7560,11607,6581
1507346973407,65410,866,65122,65535,0,0,449,65106,352,5766,7560,11607,6581
