TIMESTAMP,ACCEL_DATA_X, ACCEL_DATA_Y, ACCEL_DATA_Z, GYRO_DATA_X, GYRO_DATA_Y, GYRO_DATA_Z, MAG_DATA_X, MAG_DATA_Y, MAG_DATA_Z, QUATERNION_DATA_W, QUATERNION_DATA_X, QUATERNION_DATA_Y, QUATERNION_DATA_Z
1507347674351,521,64931,65146,60970,1419,3096,64847,65469,200,4166,53767,3021,55296
1507347674383,549,64753,65187,61355,1151,2631,64816,4,126,3748,53844,3825,55400
1507347674403,620,64629,65282,61722,1761,1899,64816,4,126,3463,53958,4518,55438
1507347674421,640,64661,65313,62476,683,1604,64834,96,76,3228,53992,5044,55571
1507347674437,779,64675,65363,62675,393,1313,64834,96,76,2997,54007,5501,55724
1507347674463,786,64550,65443,63423,209,672,64828,163,76,2580,54017,6157,56031
1507347674504,751,64517,13,64084,14,117,64828,163,76,2432,54001,6318,56113
1507347674525,735,64595,38,64432,65492,65407,64845,174,96,2305,53962,6409,56151
1507347674543,729,64605,65533,64733,65341,65194,64845,174,96,2207,53901,6422,56252
1507347674567,748,64614,65516,65177,65063,64940,64845,176,96,2159,53769,6315,56293
1507347674587,729,64611,65420,548,64829,64654,64845,176,96,2201,53645,6113,56326
1507347674613,663,64586,65354,773,64401,64358,64828,176,145,2272,53467,5824,56398
1507347674634,640,64645,65206,2346,63904,63130,64828,176,145,2463,53136,5001,56404
1507347674657,600,64967,65011,2058,64381,62851,64828,176,145,2589,52949,4389,56369
1507347674680,676,65075,65078,3110,64425,62503,64840,128,152,2793,52800,3586,56285
1507347674701,664,65130,65036,4527,64386,61367,64840,128,152,3056,52715,2028,56046
1507347674726,671,65456,65064,4817,65325,61330,64845,57,182,3307,52804,937,55864
1507347674747,799,21,65244,5198,64845,61655,64845,57,182,3733,52898,65439,55801
1507347674771,911,65455,65234,4472,64559,62239,64852,65487,214,3980,52990,64536,55854
1507347674808,983,0,65290,3008,64842,63245,64852,65410,264,4262,53185,63206,55929
1507347674830,1002,65452,65333,2355,64809,63719,64887,65410,264,4314,53225,62711,56014
1507347674843,1041,65473,65308,2325,64725,63921,64887,65410,264,4418,53292,62504,56059
1507347674862,1061,16,65293,1695,64943,64309,64887,65410,326,4486,53354,62176,56122
1507347674882,1075,65523,65355,923,65372,64656,64893,65386,326,4495,53409,62003,56120
1507347674904,999,65421,65336,141,205,65162,64893,65386,326,4424,53451,61967,56045
1507347674938,958,65403,65223,64752,346,65533,64928,65362,345,4298,53452,62100,55937
1507347674963,885,65440,65222,64636,446,195,64933,65362,337,4214,53455,62327,55798
1507347674984,858,65326,65304,64437,683,440,64933,65362,337,4126,53458,62549,55693
1507347675007,818,65253,65316,64178,571,610,64933,65362,337,3975,53428,62812,55606
1507347675031,801,65239,65308,64184,424,674,64903,65338,307,3881,53391,63064,55548
1507347675052,598,35,76,64019,272,786,64903,65338,307,3718,53262,63430,55560
1507347675070,979,65121,65020,63999,370,972,64892,65338,281,3813,53298,63478,55542
1507347675087,892,65218,65283,2175,346,533,64892,65338,281,3819,53302,63540,55569
1507347675104,832,65255,65372,63838,64970,1512,64892,65338,281,3682,53111,63892,55647
1507347675121,868,65151,65306,63270,64679,1421,64872,65362,257,3574,52975,64186,55734
1507347675141,976,65146,65353,23,475,162,64872,65362,257,3606,53040,64202,55644
1507347675166,903,65205,65487,146,65454,107,64874,65357,276,3636,53047,64208,55677
1507347675195,956,65299,65417,65318,65336,268,64874,65357,276,3609,52963,64307,55737
1507347675217,1012,65242,65409,64863,65111,115,64885,65380,257,3587,52954,64234,55766
1507347675235,987,65283,65339,1056,65336,65086,64885,65380,257,3683,53001,64162,55716
1507347675255,946,65248,65466,539,65180,65374,64885,65380,257,3760,53016,64018,55791
1507347675279,952,65348,65374,530,64774,67,64892,65362,264,3867,52960,63930,55905
1507347675300,963,65371,65336,693,64927,65471,64892,65362,264,3939,52939,63745,56005
1507347675326,936,65331,65339,1134,65130,65042,64879,65380,276,4091,52974,63452,56070
1507347675346,937,65363,65288,1055,65470,65010,64879,65380,276,4229,53042,63340,56068
1507347675371,921,65316,65361,248,65474,65260,64892,65386,307,4238,53054,63267,56074
1507347675392,901,65348,65314,126,65336,65331,64892,65386,307,4224,53032,63213,56142
1507347675416,917,65317,65330,52,64986,65483,64896,65373,307,4202,52974,63188,56218
1507347675436,944,65315,65324,49,65109,65504,64896,65373,307,4120,52895,63218,56247
1507347675459,957,65246,65312,64891,65437,65420,64896,65373,337,4015,52859,63263,56238
1507347675482,959,65298,65309,64866,65274,65443,64903,65391,337,3904,52796,63311,56295
1507347675504,957,65302,65371,64757,64847,65510,64903,65391,337,3800,52668,63350,56375
1507347675527,964,65293,65305,65311,64873,65432,64909,65380,345,3738,52604,63332,56449
1507347675547,956,65351,65279,65355,64915,65433,64909,65380,345,3669,52543,63304,56526
1507347675572,956,65348,65236,5,64970,65403,64909,65373,356,3639,52497,63271,56589
1507347675593,973,65348,65245,65037,64878,72,64909,65373,356,3470,52440,63472,56505
