TIMESTAMP,ACCEL_DATA_X, ACCEL_DATA_Y, ACCEL_DATA_Z, GYRO_DATA_X, GYRO_DATA_Y, GYRO_DATA_Z, MAG_DATA_X, MAG_DATA_Y, MAG_DATA_Z, QUATERNION_DATA_W, QUATERNION_DATA_X, QUATERNION_DATA_Y, QUATERNION_DATA_Z
1507348113560,880,79,64948,531,65385,65437,65132,65210,486,2340,52276,60400,57742
1507348113580,887,111,64965,400,65533,65374,65132,65210,500,2384,52300,60337,57755
1507348113595,887,105,64985,378,68,65239,65156,65216,500,2412,52318,60295,57761
1507348113611,882,94,65007,567,77,65218,65156,65216,500,2466,52356,60210,57773
1507348113631,879,86,65024,459,29,65266,65162,65247,512,2520,52393,60113,57803
1507348113652,883,108,65023,247,65482,65405,65162,65247,512,2535,52408,60061,57810
1507348113674,878,108,65015,42,25,65445,65162,65247,512,2531,52415,60050,57803
1507348113696,871,55,65040,65449,18,65491,65162,65223,505,2511,52415,60049,57799
1507348113718,859,73,65016,58,65460,65388,65162,65223,505,2499,52421,60026,57801
1507348113741,833,93,65025,65430,42,65455,65144,65240,518,2482,52427,60014,57800
1507348113763,840,101,65026,65507,65441,32,65144,65240,518,2465,52413,60023,57806
1507348113786,840,72,65050,65454,11,31,65162,65240,512,2459,52412,60030,57800
1507348113814,826,49,65042,65422,65511,68,65162,65240,512,2448,52399,60055,57799
1507348113834,844,28,65067,65444,65477,18,65168,65210,505,2434,52392,60063,57803
1507348113848,854,43,65063,27,65458,65517,65168,65210,505,2433,52387,60057,57815
1507348113863,869,94,65052,25,65492,35,65168,65210,505,2432,52380,60065,57821
1507348113884,858,107,65024,65494,65505,151,65173,65223,512,2426,52373,60081,57822
1507348113903,853,86,65025,65357,65480,233,65173,65223,512,2413,52340,60149,57823
1507348113927,846,45,65028,65423,65506,163,65173,65223,531,2413,52333,60162,57827
1507348113949,860,47,65053,65517,10,114,65173,65223,531,2421,52328,60178,57831
1507348113971,851,67,65043,4,65519,120,65173,65223,531,2429,52320,60206,57833
1507348113994,851,82,65040,65465,65535,168,65184,65223,505,2433,52305,60236,57833
1507348114015,853,79,65028,65453,33,176,65184,65223,505,2439,52295,60269,57827
1507348114038,848,80,65020,65441,43,199,65154,65234,524,2448,52288,60297,57823
1507348114058,853,69,65004,65419,19,231,65154,65234,524,2450,52274,60338,57821
1507348114079,866,76,65022,65428,10,221,65167,65253,524,2473,52275,60340,57823
1507348114102,865,105,65030,65439,22,247,65167,65253,524,2474,52262,60409,57815
1507348114123,855,125,65006,65300,50,329,65167,65253,524,2473,52232,60481,57804
1507348114146,844,152,64958,65158,54,471,65136,65247,505,2455,52199,60592,57785
1507348114169,846,48,64962,64907,109,675,65136,65247,505,2425,52155,60745,57755
1507348114185,856,15,64970,64873,95,668,65160,65253,500,2418,52138,60805,57745
1507348114200,873,32,64999,64854,125,651,65160,65253,500,2380,52101,60956,57706
1507348114219,868,65517,65003,64804,155,620,65160,65253,500,2335,52065,61111,57667
1507348114239,875,65483,65003,64790,108,614,65136,65223,500,2284,52028,61257,57634
1507348114262,883,40,64983,64895,61,491,65136,65223,500,2239,51981,61444,57597
1507348114285,873,75,64970,64971,78,541,65124,65229,486,2191,51952,61572,57573
1507348114306,877,39,64964,64747,162,700,65124,65229,486,2137,51917,61753,57532
1507348114330,851,17,64966,64661,125,772,65101,65234,462,2085,51880,61936,57497
1507348114352,843,85,64968,64727,219,695,65101,65234,462,2037,51858,62205,57414
1507348114374,830,109,64974,64626,324,854,65101,65234,462,1961,51824,62434,57354
